customer_id,age,plan,tenure_months,monthly_bill,monthly_usage_hours,usage_change_pct,login_frequency,complaint_count,open_complaints,avg_resolution_days,payment_delay_days,payment_failures,plan_changes,engagement_score,satisfaction_score,churn
C1023,47,Standard,16,881.06,51.5,-5.5,10,0,0,1.3,10,0,0,69.5,3.5,0
C1024,55,Premium,11,1442.29,54.9,29.5,3,0,0,5.9,2,2,0,69.9,1.5,0
C1025,19,Enterprise,1,3089.31,34.5,25.5,6,0,0,2.0,2,1,0,50.3,3.4,0
C1026,38,Enterprise,12,2992.32,59.2,2.5,5,0,0,0.5,3,0,0,43.6,3.8,0
C1027,50,Standard,34,852.46,48.2,-12.4,12,3,0,3.7,0,0,0,53.3,4.0,0
C1028,29,Standard,19,905.85,32.3,-8.1,6,2,2,1.7,2,0,1,98.0,3.7,0
C1029,39,Premium,35,1495.58,28.6,16.7,11,1,1,9.3,0,1,0,98.0,2.1,0
C1030,61,Basic,13,437.34,43.9,-5.9,6,1,0,1.5,6,0,0,55.7,4.7,0
C1031,42,Standard,2,902.73,45.9,-19.0,3,0,0,0.5,1,0,1,79.5,2.8,0
C1032,66,Standard,1,938.35,35.5,25.4,5,1,1,10.3,2,0,1,45.3,4.9,0
C1033,44,Standard,7,889.68,45.0,-0.5,8,1,0,6.3,1,1,0,65.8,3.5,0
C1034,59,Basic,23,416.59,47.2,-19.4,6,0,0,13.6,1,0,1,62.4,5.0,0
C1035,45,Basic,31,512.68,57.3,7.0,6,1,0,0.7,17,1,1,98.0,4.4,0
C1036,33,Enterprise,7,3023.12,44.1,19.3,5,0,0,0.5,7,1,3,68.3,4.4,0
C1037,32,Basic,13,475.54,49.8,-30.2,6,1,0,10.6,2,1,0,39.2,2.8,1
C1038,64,Standard,10,875.84,59.4,-10.0,10,0,0,4.7,7,0,0,76.9,2.5,0
C1039,68,Basic,10,589.31,43.4,-11.2,6,0,0,6.8,4,0,0,98.0,5.0,0
C1040,61,Basic,5,472.67,37.4,6.3,13,3,0,0.5,2,0,2,73.7,3.4,0
C1041,72,Basic,2,454.12,50.8,10.8,9,2,2,3.7,0,0,0,39.4,3.9,0
C1042,69,Basic,4,500.0,54.1,-18.8,13,0,0,4.3,9,0,0,51.1,4.0,0
C1043,74,Premium,1,1521.99,59.2,-42.3,7,2,0,1.5,1,0,0,81.7,4.8,0
C1044,20,Basic,4,520.3,39.8,20.8,3,0,0,2.2,5,0,0,77.3,2.8,0
C1045,54,Enterprise,1,2900.28,40.6,-33.0,7,2,2,0.5,6,0,1,97.6,3.9,1
C1046,68,Standard,19,872.57,52.3,1.8,11,0,0,0.5,3,0,0,39.5,2.6,0
C1047,24,Standard,7,945.12,49.4,-8.3,8,0,0,5.8,4,1,0,81.2,2.8,0
C1048,38,Standard,72,912.07,52.5,-0.9,7,1,1,6.0,0,0,0,46.2,3.8,0
C1049,26,Standard,4,849.57,49.4,36.3,9,3,3,0.9,3,1,1,44.4,5.0,0
C1050,56,Premium,8,1548.7,42.7,71.0,12,2,0,5.9,1,0,1,64.9,3.9,0
C1051,35,Basic,8,537.6,42.9,-45.8,7,0,0,1.6,3,0,1,43.1,1.5,0
C1052,21,Standard,1,887.14,43.6,19.6,2,1,1,1.2,3,0,1,38.6,3.7,0
C1053,42,Premium,36,1534.18,56.0,-8.9,15,2,2,5.5,0,0,0,74.5,3.7,0
C1054,31,Enterprise,1,3078.99,56.9,21.2,6,2,2,4.3,2,1,0,72.2,5.0,0
C1055,67,Premium,56,1456.82,27.6,18.9,10,0,0,3.5,7,0,2,85.1,3.2,0
C1056,26,Standard,44,921.22,51.6,30.2,3,1,0,5.6,0,0,0,66.4,2.0,0
C1057,43,Premium,15,1578.44,57.6,2.1,8,0,0,7.0,5,0,0,72.2,4.8,0
C1058,70,Standard,15,925.12,45.6,-27.2,5,1,1,10.4,3,0,0,80.2,2.4,1
C1059,19,Standard,21,868.82,20.0,18.2,5,2,2,3.4,3,0,0,89.9,2.6,0
C1060,37,Basic,9,508.56,46.8,-2.1,6,1,1,0.5,0,1,1,87.5,4.0,0
C1061,45,Standard,20,953.8,39.8,-10.8,9,0,0,1.5,7,0,0,64.1,4.1,0
C1062,64,Basic,1,458.37,47.5,-16.9,5,2,1,0.5,9,0,0,63.8,3.7,1
C1063,24,Basic,1,497.8,61.4,20.2,3,2,1,0.5,3,0,1,49.4,3.3,0
C1064,61,Premium,12,1489.26,49.4,35.1,6,2,0,15.8,17,0,0,79.3,5.0,0
C1065,25,Basic,15,473.74,62.3,-34.9,6,2,1,0.7,1,0,0,76.3,4.0,0
C1066,64,Basic,43,508.66,35.4,10.5,8,1,0,4.7,0,1,0,80.2,4.6,0
C1067,52,Basic,2,494.97,55.8,-14.3,12,3,0,5.3,0,1,0,56.0,3.9,1
C1068,31,Enterprise,34,3024.73,52.9,-41.7,10,1,1,2.4,0,0,0,93.2,4.9,0
C1069,34,Standard,4,944.64,44.8,-1.3,11,0,0,0.5,0,1,0,32.4,4.0,0
C1070,53,Standard,10,848.09,25.8,-25.8,6,0,0,4.6,4,1,0,98.0,3.3,0
C1071,67,Premium,7,1501.7,44.2,-44.4,8,0,0,10.6,5,1,1,54.9,2.8,1
C1072,57,Premium,10,1496.87,36.7,-24.5,4,3,1,5.1,0,0,0,71.4,3.6,0
C1073,21,Basic,3,507.14,27.5,-30.7,9,0,0,2.6,1,1,0,90.8,3.8,0
C1074,19,Standard,14,898.38,37.5,-21.2,7,0,0,3.1,0,0,0,61.0,5.0,0
C1075,23,Premium,32,1459.77,50.2,-38.1,3,3,0,0.6,4,0,0,59.1,3.2,1
C1076,71,Standard,11,957.19,46.6,-14.9,6,0,0,7.5,6,0,2,38.8,2.9,1
C1077,59,Basic,13,574.23,43.8,-22.8,6,0,0,3.2,5,1,0,56.9,4.1,0
C1078,21,Premium,37,1520.88,32.8,4.4,9,1,1,1.0,5,0,0,33.0,2.8,0
C1079,71,Standard,24,922.92,24.4,9.8,5,1,0,0.5,4,0,0,64.4,2.5,0
C1080,46,Basic,13,504.24,34.5,1.5,16,1,0,1.1,5,0,1,53.4,4.6,0
C1081,35,Standard,5,937.77,41.2,-10.9,7,0,0,5.1,3,0,1,76.7,3.3,0
C1082,43,Basic,43,401.27,37.4,-11.6,11,1,1,10.9,3,1,0,62.5,3.5,0
C1083,61,Basic,17,498.85,40.6,-25.9,6,1,1,0.9,6,0,1,49.6,2.7,0
C1084,51,Premium,4,1476.09,63.4,-25.3,8,0,0,1.3,3,1,1,49.3,4.2,0
C1085,27,Basic,6,504.83,44.4,12.6,10,2,0,5.7,0,1,0,56.8,4.6,1
C1086,53,Standard,32,942.71,56.8,-49.0,4,1,1,4.6,8,1,0,53.6,4.9,0
C1087,31,Standard,1,899.76,36.4,-7.0,7,0,0,0.5,2,1,0,67.8,2.7,0
C1088,48,Basic,72,484.58,36.0,-13.1,7,1,0,8.4,1,0,1,74.8,4.4,0
C1089,65,Enterprise,2,2942.87,29.9,10.0,5,0,0,0.9,1,0,0,61.9,3.9,0
C1090,32,Basic,31,494.63,45.1,-40.6,4,0,0,5.1,3,2,1,64.6,3.6,1
C1091,25,Basic,10,525.89,33.5,-4.7,10,1,0,3.7,2,0,0,65.5,3.3,0
C1092,31,Basic,13,465.36,71.9,3.6,7,1,0,2.2,3,0,0,62.9,3.0,0
C1093,40,Basic,42,418.87,41.9,-52.6,8,0,0,0.5,3,0,1,98.0,3.1,1
C1094,74,Basic,10,589.97,42.7,-31.9,10,2,2,7.8,3,0,0,53.3,3.2,1
C1095,57,Premium,15,1512.41,41.0,-7.3,7,1,0,2.6,3,0,0,91.9,3.2,0
C1096,38,Enterprise,1,2990.14,36.8,7.9,9,1,0,0.5,1,0,1,75.0,4.1,0
C1097,33,Basic,1,554.64,57.2,-0.4,4,3,1,2.3,7,0,3,69.4,2.6,1
C1098,62,Standard,5,904.66,47.9,9.0,5,0,0,0.5,3,0,0,64.2,1.6,0
C1099,35,Premium,22,1552.28,28.3,-32.0,9,1,0,1.6,0,1,2,45.5,3.7,1
C1100,64,Premium,2,1548.85,28.0,-44.7,9,0,0,0.5,1,0,0,64.9,3.4,1
C1101,70,Standard,2,848.02,30.8,-2.9,6,2,1,1.1,5,2,0,67.4,4.4,0
C1102,41,Basic,10,517.4,32.3,-35.7,6,3,0,5.8,4,1,2,95.0,2.4,1
C1103,43,Basic,20,568.01,39.8,-26.6,6,0,0,0.9,0,0,1,68.7,5.0,0
C1104,42,Premium,24,1459.05,54.7,18.3,4,1,1,3.6,25,0,0,98.0,3.0,0
C1105,62,Premium,3,1459.55,44.5,-0.3,9,4,2,0.9,3,0,0,53.5,2.7,1
C1106,58,Basic,1,466.31,30.4,-19.2,4,2,0,3.4,1,0,1,98.0,3.8,0
C1107,46,Standard,56,934.62,34.8,-22.5,10,0,0,4.8,1,0,1,43.1,2.3,0
C1108,32,Enterprise,6,3010.38,27.6,10.5,6,1,0,0.5,10,0,0,57.3,2.9,0
C1109,62,Premium,38,1421.57,42.2,0.3,3,1,0,6.6,2,0,1,60.7,4.0,0
C1110,18,Enterprise,39,3012.64,53.9,-35.4,9,0,0,8.6,1,1,1,63.4,4.0,0
C1111,42,Premium,29,1488.92,71.0,-53.7,2,2,1,1.6,1,0,2,14.5,4.0,1
C1112,24,Standard,3,894.51,33.7,42.0,7,1,0,7.4,3,0,3,62.1,3.6,0
C1113,26,Standard,34,865.52,48.6,-35.6,6,1,0,0.5,0,0,1,67.9,2.5,0
C1114,41,Standard,29,912.93,66.6,8.2,7,2,2,1.9,0,0,0,47.2,4.4,0
C1115,18,Basic,18,541.02,54.4,32.8,3,2,2,0.6,2,0,0,65.5,3.6,0
C1116,61,Standard,8,873.32,52.9,-1.3,11,2,2,11.4,9,1,1,82.7,4.4,0
C1117,25,Premium,6,1431.7,47.6,-20.0,4,0,0,5.2,10,0,1,63.1,4.4,0
C1118,41,Basic,2,486.88,61.2,-40.7,10,1,1,3.4,7,1,1,54.7,4.8,1
C1119,28,Premium,14,1529.25,35.7,-41.0,5,2,0,0.5,0,0,0,60.8,4.4,1
C1120,68,Standard,17,882.16,49.0,4.4,4,0,0,0.6,0,1,1,85.8,3.0,0
C1121,34,Enterprise,8,2939.1,41.7,31.3,3,2,0,1.5,3,1,1,38.5,4.2,0
C1122,25,Basic,12,529.53,37.2,-14.9,4,1,0,0.9,4,2,0,50.0,3.2,1
C1123,52,Basic,9,555.61,32.1,-18.9,7,1,0,1.3,4,0,0,82.4,4.6,0
C1124,52,Standard,20,899.8,18.2,12.4,5,0,0,12.1,1,0,0,74.7,2.4,0
C1125,50,Basic,46,434.77,70.8,-22.1,6,0,0,5.7,1,1,2,63.9,4.9,0
C1126,22,Premium,3,1486.29,34.3,1.9,4,1,1,0.5,13,0,0,55.9,2.3,0
C1127,59,Premium,9,1505.06,45.9,-4.0,5,0,0,0.5,2,0,0,87.0,2.8,0
C1128,56,Basic,3,466.61,49.4,-15.2,10,2,2,0.5,4,0,1,60.7,5.0,0
C1129,58,Standard,19,922.33,31.2,-5.4,2,3,0,4.4,2,1,0,65.3,4.0,0
C1130,45,Standard,26,862.7,50.7,39.1,8,0,0,2.5,7,2,1,56.2,4.2,0
C1131,24,Standard,53,900.03,62.9,10.1,2,0,0,0.6,7,0,3,78.7,3.1,0
C1132,26,Enterprise,6,2989.87,53.1,22.3,4,0,0,9.8,4,0,0,88.9,4.0,1
C1133,25,Premium,59,1523.63,42.9,-28.0,11,1,0,0.8,10,0,1,58.1,2.7,0
C1134,29,Standard,1,898.43,45.1,22.4,12,3,3,4.5,0,1,3,44.1,5.0,0
C1135,51,Premium,18,1491.14,42.1,11.0,3,0,0,20.0,3,1,0,56.1,4.1,0
C1136,50,Standard,1,866.89,37.9,-42.5,4,3,0,16.3,1,0,1,92.8,4.3,1
C1137,65,Enterprise,44,3000.39,33.4,8.5,9,1,1,3.4,0,0,0,39.9,2.6,0
C1138,72,Standard,15,888.59,39.5,-17.8,9,0,0,0.6,5,0,0,58.3,4.3,0
C1139,40,Premium,22,1464.18,46.6,-43.6,5,0,0,17.3,3,2,0,73.4,4.5,1
C1140,41,Premium,35,1505.38,63.7,-1.8,7,3,2,4.5,0,0,0,47.1,4.0,0
C1141,54,Basic,3,513.56,41.2,8.5,6,1,1,6.1,17,1,1,60.1,3.7,0
C1142,52,Premium,1,1485.46,41.6,-1.2,7,0,0,13.9,0,2,0,42.0,2.6,1
C1143,61,Basic,42,536.26,37.5,-7.7,11,1,1,0.8,4,1,1,63.6,4.1,0
C1144,57,Basic,7,509.56,65.9,-13.3,3,2,0,1.4,3,0,0,44.5,3.3,0
C1145,39,Basic,2,447.65,43.3,56.7,7,1,1,1.0,2,0,0,69.6,4.6,0
C1146,44,Enterprise,12,3052.5,53.0,-34.6,7,2,1,16.5,7,0,1,54.4,3.7,1
C1147,52,Premium,18,1529.68,50.3,16.8,5,2,0,3.7,1,0,1,84.0,3.8,0
C1148,18,Premium,1,1539.07,54.1,-4.6,15,2,2,1.3,6,1,2,62.2,4.5,0
C1149,52,Premium,6,1515.02,54.1,-26.4,8,2,2,1.6,3,1,1,55.2,3.5,0
C1150,54,Standard,1,805.49,41.7,-6.2,6,0,0,2.1,1,1,0,40.2,3.1,1
C1151,64,Enterprise,10,3042.7,38.6,-39.8,9,0,0,2.0,1,0,1,65.0,3.9,0
C1152,31,Standard,45,901.43,65.9,-19.9,5,2,0,0.7,1,0,1,64.4,4.6,0
C1153,20,Standard,72,913.13,38.5,-6.2,7,0,0,6.8,0,0,0,66.3,3.3,0
C1154,18,Basic,20,520.62,44.8,-43.8,7,3,2,5.2,3,1,0,76.0,3.9,1
C1155,22,Premium,3,1576.45,36.6,7.7,8,0,0,8.6,2,1,0,46.6,4.2,0
C1156,43,Premium,47,1477.15,53.6,-29.1,4,3,2,2.6,1,0,1,17.5,4.0,1
C1157,72,Standard,14,878.18,40.9,-41.3,9,2,0,3.9,0,0,0,50.6,5.0,1
C1158,31,Basic,3,464.96,37.7,-32.0,3,2,1,4.9,0,1,0,30.0,3.3,1
C1159,56,Premium,50,1456.2,45.5,49.4,7,4,1,3.2,4,0,0,75.1,4.5,0
C1160,44,Basic,28,456.94,61.5,-54.5,6,3,2,4.3,7,0,1,65.0,4.4,1
C1161,26,Premium,26,1424.93,36.3,5.9,8,2,2,2.7,1,1,0,91.2,5.0,0
C1162,32,Enterprise,24,3016.07,55.4,-23.8,9,2,1,1.8,3,0,1,54.6,2.8,1
C1163,32,Standard,4,978.51,36.9,-13.8,9,0,0,14.2,3,0,0,50.8,3.7,0
C1164,43,Basic,4,581.06,26.3,10.1,11,0,0,2.3,1,0,1,98.0,3.6,0
C1165,59,Premium,23,1464.91,46.4,8.9,6,0,0,6.4,2,3,0,76.6,4.7,0
C1166,30,Premium,4,1488.11,34.7,-22.0,2,3,0,3.2,4,0,3,98.0,3.2,1
C1167,68,Standard,11,948.33,37.7,-38.9,5,2,0,1.1,8,1,1,72.3,3.1,1
C1168,49,Enterprise,30,3016.29,33.5,10.6,16,2,1,0.5,6,0,1,70.0,5.0,0
C1169,56,Basic,30,504.38,68.0,8.8,8,2,2,8.6,8,0,1,49.2,2.8,1
C1170,66,Standard,12,888.73,20.5,-12.1,7,5,0,1.4,23,0,0,66.3,1.8,1
C1171,69,Premium,31,1546.13,46.5,6.0,4,0,0,1.2,1,0,0,60.7,5.0,0
C1172,49,Premium,36,1456.08,41.1,-16.1,7,5,3,4.8,5,1,0,58.9,5.0,1
C1173,21,Basic,21,518.24,33.3,-25.7,11,1,1,3.6,3,0,0,69.3,5.0,0
C1174,47,Premium,5,1512.8,44.9,-4.9,8,2,1,3.8,3,0,0,84.3,3.6,0
C1175,54,Standard,6,900.73,56.2,8.0,3,3,2,0.5,1,0,1,38.3,4.2,0
C1176,40,Standard,7,930.51,47.5,2.7,4,2,1,1.0,7,1,1,41.0,2.5,1
C1177,56,Basic,2,500.35,59.1,7.7,14,3,1,2.4,6,0,2,62.9,3.8,0
C1178,62,Premium,6,1477.62,70.4,-24.0,8,0,0,7.1,6,0,0,60.8,3.9,0
C1179,32,Basic,4,502.7,42.0,34.5,6,0,0,1.9,23,1,0,52.5,4.3,0
C1180,60,Basic,12,435.32,38.3,-13.6,6,0,0,0.5,1,0,0,60.8,4.1,0
C1181,46,Basic,47,523.51,69.4,-8.0,4,1,0,1.8,14,0,0,32.5,4.0,1
C1182,53,Premium,2,1533.73,49.5,-38.0,6,3,0,1.2,0,0,0,40.5,4.0,1
C1183,30,Standard,25,872.74,43.7,-9.8,6,1,1,18.3,0,1,0,64.3,3.7,0
C1184,49,Premium,23,1463.22,62.0,8.3,8,2,2,1.6,0,0,0,76.4,3.7,0
C1185,24,Basic,2,474.21,27.7,14.1,3,0,0,3.3,1,1,0,79.7,4.3,0
C1186,68,Standard,51,896.48,43.4,34.0,3,0,0,3.0,1,1,0,71.2,3.4,0
C1187,39,Standard,16,907.64,43.3,8.0,5,2,2,0.7,1,0,1,70.0,3.5,0
C1188,45,Premium,9,1563.62,59.0,1.9,10,0,0,0.5,10,0,0,81.1,4.8,0
C1189,19,Enterprise,28,3058.56,60.0,-16.2,5,0,0,0.5,1,0,0,28.9,5.0,0
C1190,59,Basic,5,532.26,67.4,-21.5,6,2,0,0.5,4,0,1,69.2,4.7,0
C1191,62,Standard,23,903.85,37.0,19.3,11,5,1,4.5,16,0,0,50.9,4.9,1
C1192,74,Basic,1,461.92,52.5,18.8,5,0,0,3.5,1,0,0,63.4,5.0,0
C1193,70,Standard,36,966.19,29.6,-31.9,6,1,1,1.2,14,0,1,57.7,3.4,0
C1194,23,Basic,11,489.09,17.1,13.1,10,0,0,0.8,5,0,0,45.6,4.7,0
C1195,45,Basic,20,510.25,46.5,11.3,11,0,0,0.5,6,2,0,84.5,2.7,0
C1196,45,Standard,5,924.09,37.4,-32.8,8,1,1,1.2,3,1,1,69.9,2.6,1
C1197,61,Standard,22,901.46,42.1,8.5,14,1,1,1.4,6,1,0,66.6,4.1,0
C1198,61,Basic,29,545.04,65.0,-31.2,11,1,1,7.0,3,1,0,81.6,3.6,0
C1199,37,Premium,12,1517.22,36.8,-65.7,7,1,1,0.5,2,1,0,81.9,4.4,0
C1200,47,Standard,19,938.55,32.5,-9.0,5,2,0,1.1,7,1,0,58.8,3.0,1
C1201,28,Basic,12,516.89,54.4,1.4,8,1,1,10.7,6,1,1,66.9,4.8,0
C1202,72,Premium,44,1497.48,24.4,-7.9,6,1,0,6.7,2,1,0,98.0,4.5,0
C1203,45,Basic,13,501.97,39.3,66.7,5,3,1,7.5,0,0,0,51.3,3.4,0
C1204,42,Standard,36,896.51,25.4,4.5,7,3,0,0.5,10,0,1,66.2,4.0,0
C1205,56,Standard,32,847.63,30.7,-1.3,2,1,0,1.6,6,0,0,46.3,3.2,0
C1206,50,Basic,10,458.97,25.3,5.7,8,1,1,2.3,7,0,0,58.7,2.8,0
C1207,18,Basic,5,528.62,51.3,-16.0,3,0,0,0.5,0,1,0,62.6,4.1,0
C1208,74,Standard,10,848.63,46.3,18.2,4,0,0,0.5,8,0,0,84.2,2.2,0
C1209,44,Enterprise,34,2982.83,29.4,4.0,8,1,1,1.5,2,0,0,56.7,4.0,0
C1210,74,Standard,5,857.0,27.6,2.9,5,2,1,8.9,9,0,0,74.9,2.6,1
C1211,69,Standard,14,880.69,39.0,-20.6,2,2,2,1.8,4,0,1,70.9,4.3,1
C1212,30,Standard,32,892.79,43.8,-44.1,3,0,0,4.9,2,1,1,73.4,2.7,0
C1213,58,Basic,8,482.75,72.8,-17.5,12,1,0,3.2,0,0,0,81.6,3.5,0
C1214,20,Standard,20,841.87,24.5,2.1,3,1,1,7.6,3,0,1,59.6,3.1,0
C1215,56,Premium,5,1491.58,31.6,-16.1,8,0,0,1.4,4,0,0,37.5,3.8,0
C1216,23,Basic,2,460.64,58.0,2.3,5,2,0,0.5,9,0,0,70.4,5.0,0
C1217,25,Basic,31,473.54,56.6,-10.8,4,1,0,0.5,8,0,0,77.3,3.7,0
C1218,44,Basic,2,528.62,51.8,5.8,5,1,1,0.7,1,0,1,98.0,4.3,0
C1219,26,Standard,6,937.22,23.1,-29.4,9,2,0,5.8,0,1,0,45.5,3.9,1
C1220,54,Enterprise,38,2946.56,51.5,-0.2,13,0,0,3.0,2,0,1,80.2,4.0,0
C1221,50,Basic,8,561.75,47.6,-21.0,6,2,0,2.8,1,0,1,89.7,3.7,0
C1222,68,Standard,72,878.6,48.2,-43.5,7,2,2,0.5,1,1,1,33.5,5.0,0
C1223,59,Basic,72,474.96,45.2,-9.1,9,1,1,0.7,4,1,0,83.5,2.1,0
C1224,61,Enterprise,6,2963.33,47.3,33.4,8,1,0,0.8,5,0,0,60.3,3.8,0
C1225,41,Basic,1,501.24,44.5,-41.5,8,1,1,4.9,5,0,0,39.4,3.7,1
C1226,32,Standard,24,978.26,73.9,-2.0,8,0,0,4.2,6,1,0,58.5,3.9,0
C1227,71,Premium,11,1437.41,47.7,14.9,7,3,1,3.1,0,0,3,86.7,5.0,0
C1228,49,Premium,2,1416.72,33.5,52.5,4,2,1,0.5,13,0,1,98.0,2.0,0
C1229,49,Standard,24,909.74,31.6,-17.3,9,1,1,0.6,1,0,0,82.9,3.0,0
C1230,41,Basic,1,521.77,46.7,-20.8,6,5,0,1.0,1,1,0,77.6,3.0,1
C1231,58,Standard,40,901.11,40.0,-34.2,13,1,0,6.2,3,0,0,60.6,4.9,0
C1232,69,Basic,2,522.83,21.8,23.5,7,0,0,4.5,1,1,0,75.5,3.3,0
C1233,66,Basic,2,453.75,49.3,-26.7,8,2,1,8.6,4,0,0,37.0,4.1,1
C1234,66,Standard,3,861.21,35.7,-14.3,8,1,1,0.5,1,0,2,87.9,3.0,1
C1235,69,Basic,64,503.96,46.7,-51.2,8,0,0,6.0,4,0,0,76.3,3.8,0
C1236,29,Basic,23,569.32,44.4,17.1,14,2,0,0.5,6,0,0,76.0,3.9,0
C1237,56,Standard,32,921.43,40.2,24.0,11,3,1,3.8,9,0,1,93.3,5.0,0
C1238,19,Enterprise,10,3023.29,34.4,16.1,2,1,1,3.7,2,0,0,63.5,2.4,1
C1239,20,Standard,8,856.05,47.1,-45.1,8,2,2,1.1,6,0,0,93.4,3.7,1
C1240,66,Basic,5,515.9,45.7,10.2,10,2,1,4.8,2,0,0,47.5,3.0,0
C1241,54,Basic,13,451.71,37.3,-46.8,3,1,0,1.9,1,0,0,51.4,3.5,1
C1242,66,Enterprise,16,3069.71,48.7,-3.5,9,1,1,3.5,5,0,0,58.2,3.2,0
C1243,73,Basic,19,458.52,40.4,0.1,3,1,1,3.5,1,0,0,75.8,4.8,0
C1244,34,Basic,5,467.14,43.7,2.8,9,0,0,7.5,0,0,0,64.5,3.4,0
C1245,66,Standard,59,840.08,35.6,8.4,3,3,0,3.9,0,0,0,67.7,2.2,0
C1246,19,Standard,3,902.43,51.3,-5.2,4,0,0,3.9,2,0,0,49.9,3.5,0
C1247,19,Standard,67,900.75,60.6,-54.1,3,0,0,3.2,5,0,0,40.5,5.0,0
C1248,45,Basic,1,559.53,29.7,8.4,8,2,0,0.5,6,1,0,60.1,4.8,0
C1249,71,Basic,13,530.06,43.5,-2.6,10,2,1,1.3,7,0,0,46.7,2.6,1
C1250,40,Enterprise,8,2967.37,48.3,-27.6,9,1,0,2.2,2,0,0,83.7,2.5,0
C1251,54,Basic,11,533.94,26.2,-44.2,7,1,0,1.0,0,0,0,53.8,3.8,1
C1252,49,Standard,16,849.26,41.8,33.5,6,0,0,0.6,0,2,0,91.1,4.9,0
C1253,50,Premium,11,1470.27,51.2,25.8,9,0,0,2.5,0,0,0,63.5,3.3,0
C1254,18,Standard,10,903.74,51.6,12.6,6,1,1,6.3,2,0,0,55.1,4.2,0
C1255,36,Basic,26,453.72,42.3,-21.9,6,1,0,3.5,9,0,0,49.9,2.8,1
C1256,19,Basic,23,541.59,31.8,-67.9,12,1,1,4.2,0,0,2,71.1,3.6,0
C1257,70,Standard,35,990.17,54.5,14.1,2,0,0,0.5,0,0,0,71.7,4.2,0
C1258,61,Premium,5,1487.22,55.9,4.2,12,1,1,5.6,0,0,0,86.3,2.4,0
C1259,43,Enterprise,18,2972.93,50.3,-14.4,3,2,0,0.5,9,1,0,63.7,4.5,1
C1260,49,Basic,17,493.82,44.5,23.1,9,1,1,1.2,6,0,0,73.8,3.5,0
C1261,23,Basic,9,476.71,31.2,16.2,6,2,0,7.3,13,0,1,81.5,3.2,0
C1262,49,Enterprise,13,3009.47,63.0,-0.6,2,1,0,8.9,4,0,0,57.2,4.9,0
C1263,72,Premium,7,1446.1,48.3,-4.1,7,1,1,0.5,3,0,0,43.8,2.9,0
C1264,21,Premium,3,1511.74,34.7,-3.7,10,3,1,0.6,0,0,0,90.2,3.3,0
C1265,72,Basic,4,575.48,28.3,12.0,8,2,2,1.6,3,0,1,59.8,3.4,0
C1266,28,Standard,2,818.91,26.8,-26.4,11,1,1,4.4,6,1,2,73.4,1.8,1
C1267,73,Premium,22,1452.25,46.7,5.6,7,2,1,0.6,8,0,1,32.9,4.5,0
C1268,34,Standard,21,881.2,56.3,-28.0,7,2,1,0.6,8,0,0,45.2,3.2,0
